"Recipient","From Lobbyists","From Lobbyists + Family"
"Hillary Clinton (D-NY)","$2045820","$2473642"
"John McCain (R)","$1754349","$2167624"
"Barack Obama (D)","$610732","$1125736"
"Chris Dodd (D-Conn)","$580420","$710220"
"Mark Warner (D-Va)","$562173","$646695"
"Mitch McConnell (R-Ky)","$561147","$675974"
"Mitt Romney (R)","$450589","$587515"
"Max Baucus (D-Mont)","$444400","$497850"
"Mary L Landrieu (D-La)","$409141","$444041"
"Rudolph W Giuliani (R)","$385988","$469538"
"Saxby Chambliss (R-Ga)","$355635","$432585"
"John E Sununu (R-NH)","$354664","$430513"
"Susan Collins (R-Maine)","$331818","$379168"
"Arlen Specter (R-Pa)","$322828","$357878"
"Tom Harkin (D-Iowa)","$311464","$357089"
"Norm Coleman (R-Minn)","$309018","$373446"
"John P Murtha (D-Pa)","$302175","$348575"
"Mark Udall (D-Colo)","$299134","$346955"
"Gordon H Smith (R-Ore)","$269805","$310455"
"John Cornyn (R-Texas)","$259557","$299232"
"Ted Stevens (R-Alaska)","$248443","$304693"
"Dick Durbin (D-Ill)","$248011","$268805"
"Tim Johnson (D-SD)","$228926","$265790"
"Bill Richardson (D)","$225450","$267550"
"Charles B Rangel (D-NY)","$225088","$240788"
"Harry Reid (D-Nev)","$221083","$246372"
"Elizabeth Dole (R-NC)","$220571","$266541"
"Patty Murray (D-Wash)","$218690","$245417"
"Pat Roberts (R-Kan)","$215680","$261080"
"Tom Udall (D-NM)","$211006","$233456"
"Jay Rockefeller (D-WVa)","$206677","$220177"
"Jack Reed (D-RI)","$201157","$216456"
"Mark Pryor (D-Ark)","$191535","$203385"
"Frank Lautenberg (D-NJ)","$185209","$214059"
"Joe Biden (D-Del)","$182500","$223350"
"Roger Wicker (R-Miss)","$169700","$196400"
"Jeanne Shaheen (D-NH)","$168780","$197080"
"Judith Feder (D-Va)","$163400","$186050"
"James L Oberstar (D-Minn)","$162411","$174661"
"James M Inhofe (R-Okla)","$161550","$183204"
"Fred Thompson (R)","$161050","$195180"
"Lamar Alexander (R-Tenn)","$160300","$189900"
"James E Clyburn (D-SC)","$158355","$166605"
"Chris Van Hollen (D-Md)","$153577","$163377"
"John D Dingell (D-Mich)","$152915","$172415"
"Byron L Dorgan (D-ND)","$148086","$156836"
"Steny H Hoyer (D-Md)","$144993","$166893"
"Dan Maffei (D-NY)","$143690","$164290"
"Carl Levin (D-Mich)","$138591","$154441"
"Nancy Pelosi (D-Calif)","$131900","$156500"
"John Boehner (R-Ohio)","$131300","$143700"
"Lindsey Graham (R-SC)","$130300","$145100"
"David R Obey (D-Wis)","$129490","$141540"
"John Kerry (D-Mass)","$129000","$146950"
"Norm Dicks (D-Wash)","$128204","$142954"
"Jason Altmire (D-Pa)","$126417","$140930"
"Pete Visclosky (D-Ind)","$125404","$137604"
"Eric Cantor (R-Va)","$124825","$136325"
"Jeff Sessions (R-Ala)","$123548","$135198"
"Ed Markey (D-Mass)","$123325","$128025"
"Dave Camp (R-Mich)","$119210","$136260"
"Barbara Boxer (D-Calif)","$111935","$129435"
"Allyson Schwartz (D-Pa)","$109655","$121505"
"Roy Blunt (R-Mo)","$108248","$138148"
"Ken Salazar (D-Colo)","$108134","$119834"
"Jim Moran (D-Va)","$105700","$128600"
"Richard C Shelby (R-Ala)","$105577","$126477"
"Joe Knollenberg (R-Mich)","$104257","$117916"
"Patrick J Kennedy (D-RI)","$102593","$108733"
"Mike Johanns (R-Neb)","$102517","$113317"
"Frank Pallone Jr. (D-NJ)","$101963","$113613"
"Rick Boucher (D-Va)","$100804","$107554"
"John Barrasso (R-Wyo)","$99456","$115806"
"C W Bill Young (R-Fla)","$98700","$107300"
"Don Young (R-Alaska)","$96872","$111122"
"Thad Cochran (R-Miss)","$95869","$109969"
"Patrick J Murphy (D-Pa)","$95327","$110427"
"Jim DeMint (R-SC)","$94390","$103390"
"Bennie G Thompson (D-Miss)","$93843","$99326"
"Earl Pomeroy (D-ND)","$92956","$99956"
"Daniel K Inouye (D-Hawaii)","$92593","$96593"
"Rosa DeLauro (D-Conn)","$92570","$98470"
"Tom Davis (R-Va)","$92082","$105182"
"Jim Slattery (D-Kan)","$92047","$105047"
"Ed Pastor (D-Ariz)","$91366","$104716"
"Tom H Allen (D-Maine)","$89303","$103403"
"Paul E Kanjorski (D-Pa)","$88000","$102200"
"Ciro D Rodriguez (D-Texas)","$87933","$97283"
"Al Franken (D-Minn)","$87810","$103660"
"Patrick Leahy (D-Vt)","$87400","$90900"
"Kay R Hagan (D-NC)","$86720","$102170"
"Richard E Neal (D-Mass)","$84780","$91780"
"Phil English (R-Pa)","$84750","$97000"
"Chris Carney (D-Pa)","$84688","$92938"
"Jeff Merkley (D-Ore)","$83850","$101850"
"Barney Frank (D-Mass)","$83113","$95963"
"James T Walsh (R-NY)","$82502","$88502"
"Ronnie Musgrove (D-Miss)","$81502","$101402"
"Pete V Domenici (R-NM)","$81493","$95793"
"Joe Sestak (D-Pa)","$81400","$91600"
